Transription Units,TU BNum,TU EcoCycID,First Gene,Last Gene,TU Start,TU End,TU Length,TU RNA Deg Rate,Avg Deg Rate,Stdev Deg Rate
[norR],"(b2709,)",[EG12108],b2709,b2709,2830775,2832289,1514,[444.0],444.0,0.0
"[norV, norW]","(b2710, b2711)","[G7413, EG12450]",b2710,b2711,2832476,2835045,2569,"[344.82, 318.0]",331.41,13.41
[norW],"(b2711,)",[EG12450],b2711,b2711,2833912,2835045,1133,[318.0],318.0,0.0
"[hydN, ascG]","(b2713, b2714)","[EG11552, EG10087]",b2713,b2714,2837578,2839264,1686,"[270.0, 354.0]",312.0,42.0
[ascG],"(b2714,)",[EG10087],b2714,b2714,2838254,2839264,1010,[354.0],354.0,0.0
"[ascF, ascB]","(b2715, b2716)","[EG10086, EG10085]",b2715,b2716,2839524,2842414,2890,"[384.0, 558.0]",471.0,87.0
[ascB],"(b2716,)",[EG10085],b2716,b2716,2840990,2842414,1424,[558.0],558.0,0.0
[hycI],"(b2717,)",[G7414],b2717,b2717,2842573,2843043,470,[630.0],630.0,0.0
[hycH],"(b2718,)",[EG10481],b2718,b2718,2843036,2843446,410,[378.0],378.0,0.0
"[hycH, hycG, hycF]","(b2718, b2719, b2720)","[EG10481, EG10480, EG10479]",b2718,b2720,2843036,2844752,1716,"[378.0, 498.0, 390.0]",422.0,53.9629502529
[hycD],"(b2722,)",[EG10477],b2722,b2722,2846489,2847412,923,[348.0],348.0,0.0
"[hycC, hycB]","(b2723, b2724)","[EG10476, EG10475]",b2723,b2724,2847415,2849849,2434,"[486.0, 372.0]",429.0,57.0
"[hypA, hypB, hypC]","(b2726, b2727, b2728)","[EG10483, EG10484, EG10485]",b2726,b2728,2850647,2852136,1489,"[324.0, 344.82, 474.0]",380.94,66.3500354182
"[hypA, hypB, hypC, hypD]","(b2726, b2727, b2728, b2729)","[EG10483, EG10484, EG10485, EG10486]",b2726,b2729,2850647,2853257,2610,"[324.0, 344.82, 474.0, 480.0]",405.705,71.7053768904
"[hypB, hypC]","(b2727, b2728)","[EG10484, EG10485]",b2727,b2728,2851001,2852136,1135,"[344.82, 474.0]",409.41,64.59
"[hypB, hypC, hypD, hypE]","(b2727, b2728, b2729, b2730)","[EG10484, EG10485, EG10486, EG10487]",b2727,b2730,2851001,2854264,3263,"[344.82, 474.0, 480.0, 264.0]",390.705,90.9275045022
"[hypB, hypC, hypD]","(b2727, b2728, b2729)","[EG10484, EG10485, EG10486]",b2727,b2729,2851001,2853257,2256,"[344.82, 474.0, 480.0]",432.94,62.3583771437
[hypB],"(b2727,)",[EG10484],b2727,b2727,2851001,2851873,872,[344.82],344.82,0.0
[hypC],"(b2728,)",[EG10485],b2728,b2728,2851864,2852136,272,[474.0],474.0,0.0
"[hypC, hypD, hypE]","(b2728, b2729, b2730)","[EG10485, EG10486, EG10487]",b2728,b2730,2851864,2854264,2400,"[474.0, 480.0, 264.0]",406.0,100.439036236
[hypE],"(b2730,)",[EG10487],b2730,b2730,2853254,2854264,1010,[264.0],264.0,0.0
[fhlA],"(b2731,)",[EG10301],b2731,b2731,2854338,2856416,2078,[180.0],180.0,0.0
[ygbA],"(b2732,)",[EG11287],b2732,b2732,2856453,2856806,353,[324.0],324.0,0.0
"[mutS, pphB]","(b2733, b2734)","[EG10625, G7415]",b2733,b2734,2857093,2860416,3323,"[330.0, 414.0]",372.0,42.0
[mutS],"(b2733,)",[EG10625],b2733,b2733,2857093,2859654,2561,[330.0],330.0,0.0
[ygbI],"(b2735,)",[G7416],b2735,b2735,2860467,2861234,767,[690.0],690.0,0.0
"[ygbJ, ygbK]","(b2736, b2737)","[G7417, G7418]",b2736,b2737,2861430,2863501,2071,"[390.0, 396.0]",393.0,3.0
"[ygbJ, ygbK, ygbL, ygbM]","(b2736, b2737, b2738, b2739)","[G7417, G7418, G7419, G7420]",b2736,b2739,2861430,2865012,3582,"[390.0, 396.0, 348.0, 480.0]",403.5,47.8826690985
"[ygbJ, ygbK, ygbL]","(b2736, b2737, b2738)","[G7417, G7418, G7419]",b2736,b2738,2861430,2864231,2801,"[390.0, 396.0, 348.0]",378.0,21.3541565041
"[ygbL, ygbM]","(b2738, b2739)","[G7419, G7420]",b2738,b2739,2863593,2865012,1419,"[348.0, 480.0]",414.0,66.0
[ygbM],"(b2739,)",[G7420],b2739,b2739,2864236,2865012,776,[480.0],480.0,0.0
"[rpoS, nlpD]","(b2741, b2742)","[EG10510, EG12111]",b2741,b2742,2866559,2868753,2194,"[420.0, 402.0]",411.0,9.0
"[rpoS, nlpD, pcm]","(b2741, b2742, b2743)","[EG10510, EG12111, EG10689]",b2741,b2743,2866559,2869519,2960,"[420.0, 402.0, 186.0]",336.0,106.32027088
[rpoS],"(b2741,)",[EG10510],b2741,b2741,2866559,2867551,992,[420.0],420.0,0.0
[nlpD],"(b2742,)",[EG12111],b2742,b2742,2867614,2868753,1139,[402.0],402.0,0.0
"[nlpD, pcm]","(b2742, b2743)","[EG12111, EG10689]",b2742,b2743,2867614,2869519,1905,"[402.0, 186.0]",294.0,108.0
"[nlpD, pcm, umpG]","(b2742, b2743, b2744)","[EG12111, EG10689, EG11817]",b2742,b2744,2867614,2870274,2660,"[402.0, 186.0, 222.0]",270.0,94.4880944881
"[pcm, umpG, truD, ispF, ispD]","(b2743, b2744, b2745, b2746, b2747)","[EG10689, EG11817, G7422, EG11816, G7423]",b2743,b2747,2868893,2872490,3597,"[186.0, 222.0, 282.0, 324.0, 348.0]",272.4,60.7868406812
"[pcm, umpG, truD]","(b2743, b2744, b2745)","[EG10689, EG11817, G7422]",b2743,b2745,2868893,2871304,2411,"[186.0, 222.0, 282.0]",230.0,39.5979797464
[pcm],"(b2743,)",[EG10689],b2743,b2743,2868893,2869519,626,[186.0],186.0,0.0
"[pcm, umpG, truD, ispF]","(b2743, b2744, b2745, b2746)","[EG10689, EG11817, G7422, EG11816]",b2743,b2746,2868893,2871780,2887,"[186.0, 222.0, 282.0, 324.0]",253.5,53.2235849976
"[pcm, umpG]","(b2743, b2744)","[EG10689, EG11817]",b2743,b2744,2868893,2870274,1381,"[186.0, 222.0]",204.0,18.0
"[pcm, umpG, truD, ispF, ispD, ftsB]","(b2743, b2744, b2745, b2746, b2747, b2748)","[EG10689, EG11817, G7422, EG11816, G7423, G7424]",b2743,b2748,2868893,2872820,3927,"[186.0, 222.0, 282.0, 324.0, 348.0, 372.0]",289.0,66.7607669219
"[umpG, truD, ispF, ispD, ftsB, ygbE]","(b2744, b2745, b2746, b2747, b2748, b2749)","[EG11817, G7422, EG11816, G7423, G7424, EG12707]",b2744,b2749,2869513,2873337,3824,"[222.0, 282.0, 324.0, 348.0, 372.0, 344.82]",315.47,50.074789066
"[umpG, truD]","(b2744, b2745)","[EG11817, G7422]",b2744,b2745,2869513,2871304,1791,"[222.0, 282.0]",252.0,30.0
"[umpG, truD, ispF]","(b2744, b2745, b2746)","[EG11817, G7422, EG11816]",b2744,b2746,2869513,2871780,2267,"[222.0, 282.0, 324.0]",276.0,41.8568990729
[umpG],"(b2744,)",[EG11817],b2744,b2744,2869513,2870274,761,[222.0],222.0,0.0
"[umpG, truD, ispF, ispD]","(b2744, b2745, b2746, b2747)","[EG11817, G7422, EG11816, G7423]",b2744,b2747,2869513,2872490,2977,"[222.0, 282.0, 324.0, 348.0]",294.0,47.8121323515
"[umpG, truD, ispF, ispD, ftsB]","(b2744, b2745, b2746, b2747, b2748)","[EG11817, G7422, EG11816, G7423, G7424]",b2744,b2748,2869513,2872820,3307,"[222.0, 282.0, 324.0, 348.0, 372.0]",309.6,52.9361880003
"[truD, ispF, ispD, ftsB]","(b2745, b2746, b2747, b2748)","[G7422, EG11816, G7423, G7424]",b2745,b2748,2870255,2872820,2565,"[282.0, 324.0, 348.0, 372.0]",331.5,33.2377797092
"[truD, ispF, ispD]","(b2745, b2746, b2747)","[G7422, EG11816, G7423]",b2745,b2747,2870255,2872490,2235,"[282.0, 324.0, 348.0]",318.0,27.276363394
"[truD, ispF]","(b2745, b2746)","[G7422, EG11816]",b2745,b2746,2870255,2871780,1525,"[282.0, 324.0]",303.0,21.0
"[truD, ispF, ispD, ftsB, ygbE]","(b2745, b2746, b2747, b2748, b2749)","[G7422, EG11816, G7423, G7424, EG12707]",b2745,b2749,2870255,2873337,3082,"[282.0, 324.0, 348.0, 372.0, 344.82]",334.164,30.2024433449
"[ispF, ispD, ftsB, ygbE]","(b2746, b2747, b2748, b2749)","[EG11816, G7423, G7424, EG12707]",b2746,b2749,2871301,2873337,2036,"[324.0, 348.0, 372.0, 344.82]",347.205,17.0263347494
"[ispF, ispD]","(b2746, b2747)","[EG11816, G7423]",b2746,b2747,2871301,2872490,1189,"[324.0, 348.0]",336.0,12.0
[ispF],"(b2746,)",[EG11816],b2746,b2746,2871301,2871780,479,[324.0],324.0,0.0
"[ispF, ispD, ftsB]","(b2746, b2747, b2748)","[EG11816, G7423, G7424]",b2746,b2748,2871301,2872820,1519,"[324.0, 348.0, 372.0]",348.0,19.5959179423
[ispD],"(b2747,)",[G7423],b2747,b2747,2871780,2872490,710,[348.0],348.0,0.0
"[ispD, ftsB]","(b2747, b2748)","[G7423, G7424]",b2747,b2748,2871780,2872820,1040,"[348.0, 372.0]",360.0,12.0
"[ftsB, ygbE]","(b2748, b2749)","[G7424, EG12707]",b2748,b2749,2872509,2873337,828,"[372.0, 344.82]",358.41,13.59
[ftsB],"(b2748,)",[G7424],b2748,b2748,2872509,2872820,311,[372.0],372.0,0.0
"[ftsB, ygbE, cysC, cysN, cysD]","(b2748, b2749, b2750, b2751, b2752)","[G7424, EG12707, EG10185, EG10194, EG10186]",b2748,b2752,2872509,2876329,3820,"[372.0, 344.82, 114.0, 114.0, 150.0]",218.964,114.935343494
[ygbE],"(b2749,)",[EG12707],b2749,b2749,2873014,2873337,323,[344.82],344.82,0.0
"[ygbE, cysC]","(b2749, b2750)","[EG12707, EG10185]",b2749,b2750,2873014,2873992,978,"[344.82, 114.0]",229.41,115.41
"[ygbE, cysC, cysN, cysD]","(b2749, b2750, b2751, b2752)","[EG12707, EG10185, EG10194, EG10186]",b2749,b2752,2873014,2876329,3315,"[344.82, 114.0, 114.0, 150.0]",180.705,95.884884497
"[cysC, cysN, cysD]","(b2750, b2751, b2752)","[EG10185, EG10194, EG10186]",b2750,b2752,2873387,2876329,2942,"[114.0, 114.0, 150.0]",126.0,16.9705627485
"[cysC, cysN]","(b2750, b2751)","[EG10185, EG10194]",b2750,b2751,2873387,2875419,2032,"[114.0, 114.0]",114.0,0.0
[cysC],"(b2750,)",[EG10185],b2750,b2750,2873387,2873992,605,[114.0],114.0,0.0
[cysN],"(b2751,)",[EG10194],b2751,b2751,2873992,2875419,1427,[114.0],114.0,0.0
"[cysN, cysD]","(b2751, b2752)","[EG10194, EG10186]",b2751,b2752,2873992,2876329,2337,"[114.0, 150.0]",132.0,18.0
[cysD],"(b2752,)",[EG10186],b2752,b2752,2875421,2876329,908,[150.0],150.0,0.0
[iap],"(b2753,)",[EG10488],b2753,b2753,2876581,2877618,1037,[344.82],344.82,0.0
"[iap, ygbF, ygbT, casE]","(b2753, b2754, b2755, b2756)","[EG10488, EG12845, G7425, G7426]",b2753,b2756,2876581,2880387,3806,"[344.82, 360.0, 366.0, 366.0]",359.205,8.65887261715
"[iap, ygbF]","(b2753, b2754)","[EG10488, EG12845]",b2753,b2754,2876581,2878853,2272,"[344.82, 360.0]",352.41,7.59
"[ygbF, ygbT, casE, casD, casC]","(b2754, b2755, b2756, b2757, b2758)","[EG12845, G7425, G7426, G7427, G7428]",b2754,b2758,2878569,2882142,3573,"[360.0, 366.0, 366.0, 378.0, 480.0]",390.0,45.3784089629
"[ygbF, ygbT, casE]","(b2754, b2755, b2756)","[EG12845, G7425, G7426]",b2754,b2756,2878569,2880387,1818,"[360.0, 366.0, 366.0]",364.0,2.82842712475
[ygbF],"(b2754,)",[EG12845],b2754,b2754,2878569,2878853,284,[360.0],360.0,0.0
"[ygbT, casE]","(b2755, b2756)","[G7425, G7426]",b2755,b2756,2878855,2880387,1532,"[366.0, 366.0]",366.0,0.0
"[casE, casD]","(b2756, b2757)","[G7426, G7427]",b2756,b2757,2879788,2881048,1260,"[366.0, 378.0]",372.0,6.0
[casE],"(b2756,)",[G7426],b2756,b2756,2879788,2880387,599,[366.0],366.0,0.0
"[casE, casD, casC]","(b2756, b2757, b2758)","[G7426, G7427, G7428]",b2756,b2758,2879788,2882142,2354,"[366.0, 378.0, 480.0]",408.0,51.1468474102
[casD],"(b2757,)",[G7427],b2757,b2757,2880374,2881048,674,[378.0],378.0,0.0
"[casC, casB]","(b2758, b2759)","[G7428, G7429]",b2758,b2759,2881051,2882637,1586,"[480.0, 294.0]",387.0,93.0
[casC],"(b2758,)",[G7428],b2758,b2758,2881051,2882142,1091,[480.0],480.0,0.0
"[casC, casB, casA]","(b2758, b2759, b2760)","[G7428, G7429, G7430]",b2758,b2760,2881051,2884138,3087,"[480.0, 294.0, 396.0]",390.0,76.0526133673
"[cysH, cysI, cysJ]","(b2762, b2763, b2764)","[EG10189, EG10190, EG10191]",b2762,b2764,2887578,2891898,4320,"[344.82, 114.0, 294.0]",250.94,99.0289210282
"[cysH, cysI]","(b2762, b2763)","[EG10189, EG10190]",b2762,b2763,2887578,2890099,2521,"[344.82, 114.0]",229.41,115.41
[cysI],"(b2763,)",[EG10190],b2763,b2763,2888387,2890099,1712,[114.0],114.0,0.0
"[cysI, cysJ]","(b2763, b2764)","[EG10190, EG10191]",b2763,b2764,2888387,2891898,3511,"[114.0, 294.0]",204.0,90.0
[cysJ],"(b2764,)",[EG10191],b2764,b2764,2890099,2891898,1799,[294.0],294.0,0.0
[queD],"(b2765,)",[G7431],b2765,b2765,2892214,2892579,365,[324.0],324.0,0.0
"[queD, ygcN, ygcO]","(b2765, b2766, b2767)","[G7431, G7432, G7433]",b2765,b2767,2892214,2894179,1965,"[324.0, 344.82, 360.0]",342.94,14.7569373516
"[ygcN, ygcO, ygcP]","(b2766, b2767, b2768)","[G7432, G7433, G7434]",b2766,b2768,2892657,2894771,2114,"[344.82, 360.0, 894.0]",532.94,255.383177206
"[ygcN, ygcO]","(b2766, b2767)","[G7432, G7433]",b2766,b2767,2892657,2894179,1522,"[344.82, 360.0]",352.41,7.59
"[ygcQ, ygcR, ygcS]","(b2769, b2770, b2771)","[G7435, G7436, G7437]",b2769,b2771,2894919,2897870,2951,"[330.0, 348.0, 1320.0]",666.0,462.506216174
"[yqcE, ygcE]","(b2775, b2776)","[EG13174, G7442]",b2775,b2776,2900592,2903374,2782,"[354.0, 342.0]",348.0,6.0
[ygcE],"(b2776,)",[G7442],b2776,b2776,2901896,2903374,1478,[342.0],342.0,0.0
[queE],"(b2777,)",[G7443],b2777,b2777,2904747,2905418,671,[462.0],462.0,0.0
[eno],"(b2779,)",[EG10258],b2779,b2779,2906643,2907941,1298,[282.0],282.0,0.0
"[eno, pyrG]","(b2779, b2780)","[EG10258, EG10810]",b2779,b2780,2906643,2909666,3023,"[282.0, 222.0]",252.0,30.0
"[pyrG, mazG, mazF, mazE]","(b2780, b2781, b2782, b2783)","[EG10810, EG10572, EG11249, EG10571]",b2780,b2783,2908029,2911339,3310,"[222.0, 344.82, 222.0, 234.0]",255.705,51.6832765505
"[pyrG, mazG]","(b2780, b2781)","[EG10810, EG10572]",b2780,b2781,2908029,2910685,2656,"[222.0, 344.82]",283.41,61.41
[pyrG],"(b2780,)",[EG10810],b2780,b2780,2908029,2909666,1637,[222.0],222.0,0.0
"[mazG, mazF, mazE, relA]","(b2781, b2782, b2783, b2784)","[EG10572, EG11249, EG10571, EG10835]",b2781,b2784,2909894,2913651,3757,"[344.82, 222.0, 234.0, 630.0]",357.705,164.339103913
[mazG],"(b2781,)",[EG10572],b2781,b2781,2909894,2910685,791,[344.82],344.82,0.0
"[mazG, mazF, mazE]","(b2781, b2782, b2783)","[EG10572, EG11249, EG10571]",b2781,b2783,2909894,2911339,1445,"[344.82, 222.0, 234.0]",266.94,55.286953253
"[mazG, mazF]","(b2781, b2782)","[EG10572, EG11249]",b2781,b2782,2909894,2911091,1197,"[344.82, 222.0]",283.41,61.41
"[mazF, mazE, relA, rlmD]","(b2782, b2783, b2784, b2785)","[EG11249, EG10571, EG10835, EG11247]",b2782,b2785,2910756,2915000,4244,"[222.0, 234.0, 630.0, 344.82]",357.705,164.339103913
"[mazF, mazE]","(b2782, b2783)","[EG11249, EG10571]",b2782,b2783,2910756,2911339,583,"[222.0, 234.0]",228.0,6.0
[mazF],"(b2782,)",[EG11249],b2782,b2782,2910756,2911091,335,[222.0],222.0,0.0
"[mazF, mazE, relA]","(b2782, b2783, b2784)","[EG11249, EG10571, EG10835]",b2782,b2784,2910756,2913651,2895,"[222.0, 234.0, 630.0]",362.0,189.567929777
"[mazE, relA, rlmD]","(b2783, b2784, b2785)","[EG10571, EG10835, EG11247]",b2783,b2785,2911091,2915000,3909,"[234.0, 630.0, 344.82]",402.94,166.80817486
[mazE],"(b2783,)",[EG10571],b2783,b2783,2911091,2911339,248,[234.0],234.0,0.0
"[mazE, relA]","(b2783, b2784)","[EG10571, EG10835]",b2783,b2784,2911091,2913651,2560,"[234.0, 630.0]",432.0,198.0
"[relA, rlmD]","(b2784, b2785)","[EG10835, EG11247]",b2784,b2785,2911417,2915000,3583,"[630.0, 344.82]",487.41,142.59
[relA],"(b2784,)",[EG10835],b2784,b2784,2911417,2913651,2234,[630.0],630.0,0.0
[rlmD],"(b2785,)",[EG11247],b2785,b2785,2913699,2915000,1301,[344.82],344.82,0.0
[barA],"(b2786,)",[EG11367],b2786,b2786,2915057,2917813,2756,[276.0],276.0,0.0
"[gudD, gudX]","(b2787, b2788)","[G7445, G7446]",b2787,b2788,2918045,2920746,2701,"[318.0, 474.0]",396.0,78.0
[gudX],"(b2788,)",[G7446],b2788,b2788,2919406,2920746,1340,[474.0],474.0,0.0
[yqcA],"(b2790,)",[G7448],b2790,b2790,2922535,2922984,449,[240.0],240.0,0.0
"[yqcA, truC, yqcC]","(b2790, b2791, b2792)","[G7448, G7449, G7450]",b2790,b2792,2922535,2924113,1578,"[240.0, 344.82, 318.0]",300.94,44.4604003581
"[truC, yqcC]","(b2791, b2792)","[G7449, G7450]",b2791,b2792,2923002,2924113,1111,"[344.82, 318.0]",331.41,13.41
[truC],"(b2791,)",[G7449],b2791,b2791,2923002,2923784,782,[344.82],344.82,0.0
[yqcC],"(b2792,)",[G7450],b2792,b2792,2923784,2924113,329,[318.0],318.0,0.0
[syd],"(b2793,)",[G7451],b2793,b2793,2924735,2925280,545,[354.0],354.0,0.0
[queF],"(b2794,)",[G7452],b2794,b2794,2925348,2926196,848,[264.0],264.0,0.0
"[queF, ygdH]","(b2794, b2795)","[G7452, EG12373]",b2794,b2795,2925348,2927672,2324,"[264.0, 174.0]",219.0,45.0
[ygdH],"(b2795,)",[EG12373],b2795,b2795,2926308,2927672,1364,[174.0],174.0,0.0
"[ygdH, sdaC]","(b2795, b2796)","[EG12373, EG12142]",b2795,b2796,2926308,2929518,3210,"[174.0, 390.0]",282.0,108.0
[sdaC],"(b2796,)",[EG12142],b2796,b2796,2928229,2929518,1289,[390.0],390.0,0.0
"[sdaC, sdaB]","(b2796, b2797)","[EG12142, EG11623]",b2796,b2797,2928229,2930943,2714,"[390.0, 384.0]",387.0,3.0
"[sdaC, sdaB, ygdG]","(b2796, b2797, b2798)","[EG12142, EG11623, EG12372]",b2796,b2798,2928229,2931810,3581,"[390.0, 384.0, 276.0]",350.0,52.3832034148
[sdaB],"(b2797,)",[EG11623],b2797,b2797,2929576,2930943,1367,[384.0],384.0,0.0
[ygdG],"(b2798,)",[EG12372],b2798,b2798,2931055,2931810,755,[276.0],276.0,0.0
"[fucO, fucA]","(b2799, b2800)","[EG10351, EG10348]",b2799,b2800,2931865,2933688,1823,"[570.0, 344.82]",457.41,112.59
[fucA],"(b2800,)",[EG10348],b2800,b2800,2933041,2933688,647,[344.82],344.82,0.0
"[fucI, fucK, fucU]","(b2802, b2803, b2804)","[EG10349, EG10350, EG10355]",b2802,b2804,2935584,2939310,3726,"[588.0, 344.82, 672.0]",534.94,138.740070636
[fucI],"(b2802,)",[EG10349],b2802,b2802,2935584,2937359,1775,[588.0],588.0,0.0
"[fucK, fucU]","(b2803, b2804)","[EG10350, EG10355]",b2803,b2804,2937468,2939310,1842,"[344.82, 672.0]",508.41,163.59
[fucU],"(b2804,)",[EG10355],b2804,b2804,2938888,2939310,422,[672.0],672.0,0.0
[fucR],"(b2805,)",[EG10353],b2805,b2805,2939368,2940099,731,[288.0],288.0,0.0
[rlmM],"(b2806,)",[EG11794],b2806,b2806,2940143,2941243,1100,[180.0],180.0,0.0
"[rlmM, ygdD, gcvA]","(b2806, b2807, b2808)","[EG11794, EG11793, EG11795]",b2806,b2808,2940143,2942567,2424,"[180.0, 342.0, 252.0]",258.0,66.2721661031
"[rlmM, ygdD]","(b2806, b2807)","[EG11794, EG11793]",b2806,b2807,2940143,2941631,1488,"[180.0, 342.0]",261.0,81.0
[ygdD],"(b2807,)",[EG11793],b2807,b2807,2941236,2941631,395,[342.0],342.0,0.0
"[ygdD, gcvA]","(b2807, b2808)","[EG11793, EG11795]",b2807,b2808,2941236,2942567,1331,"[342.0, 252.0]",297.0,45.0
[gcvA],"(b2808,)",[EG11795],b2808,b2808,2941650,2942567,917,[252.0],252.0,0.0
[gcvB],"(b4443,)",[G0-8867],b4443,b4443,2942696,2942901,205,[344.82],344.82,0.0
"[csdA, csdE]","(b2810, b2811)","[G7454, G7455]",b2810,b2811,2943337,2944985,1648,"[312.0, 264.0]",288.0,24.0
[csdA],"(b2810,)",[G7454],b2810,b2810,2943337,2944542,1205,[312.0],312.0,0.0
[csdE],"(b2811,)",[G7455],b2811,b2811,2944542,2944985,443,[264.0],264.0,0.0
[tcdA],"(b2812,)",[G7456],b2812,b2812,2945036,2945842,806,[318.0],318.0,0.0
"[tcdA, mltA]","(b2812, b2813)","[G7456, G7457]",b2812,b2813,2945036,2947178,2142,"[318.0, 198.0]",258.0,60.0
[mltA],"(b2813,)",[G7457],b2813,b2813,2946081,2947178,1097,[198.0],198.0,0.0
"[metZ, metW]","(b2814, b2815)","[EG30062, EG31117]",b2814,b2815,2947387,2947573,186,"[172800.0, 172800.0]",172800.0,0.0
"[metZ, metW, metV]","(b2814, b2815, b2816)","[EG30062, EG31117, EG30060]",b2814,b2816,2947387,2947683,296,"[172800.0, 172800.0, 172800.0]",172800.0,0.0
"[metZ, metW, metV, amiC]","(b2814, b2815, b2816, b2817)","[EG30062, EG31117, EG30060, G7458]",b2814,b2817,2947387,2949010,1623,"[172800.0, 172800.0, 172800.0, 344.82]",129686.205,74675.2834471
[metZ],"(b2814,)",[EG30062],b2814,b2814,2947387,2947463,76,[172800.0],172800.0,0.0
"[metW, metV, amiC]","(b2815, b2816, b2817)","[EG31117, EG30060, G7458]",b2815,b2817,2947497,2949010,1513,"[172800.0, 172800.0, 344.82]",115314.94,81296.1514858
[metW],"(b2815,)",[EG31117],b2815,b2815,2947497,2947573,76,[172800.0],172800.0,0.0
[metV],"(b2816,)",[EG30060],b2816,b2816,2947607,2947683,76,[172800.0],172800.0,0.0
"[metV, amiC]","(b2816, b2817)","[EG30060, G7458]",b2816,b2817,2947607,2949010,1403,"[172800.0, 344.82]",86572.41,86227.59
[amiC],"(b2817,)",[G7458],b2817,b2817,2947757,2949010,1253,[344.82],344.82,0.0
[argA],"(b2818,)",[EG10063],b2818,b2818,2949242,2950573,1331,[348.0],348.0,0.0
[recD],"(b2819,)",[EG10826],b2819,b2819,2950635,2952461,1826,[312.0],312.0,0.0
[recB],"(b2820,)",[EG10824],b2820,b2820,2952461,2956003,3542,[222.0],222.0,0.0
[ptrA],"(b2821,)",[EG10786],b2821,b2821,2955996,2958884,2888,[420.0],420.0,0.0
[recC],"(b2822,)",[EG10825],b2822,b2822,2959060,2962428,3368,[344.82],344.82,0.0
[ppdC],"(b2823,)",[EG11154],b2823,b2823,2962441,2962764,323,[468.0],468.0,0.0
"[ppdC, ygdB, ppdB]","(b2823, b2824, b2825)","[EG11154, EG11155, EG11156]",b2823,b2825,2962441,2963716,1275,"[468.0, 462.0, 228.0]",386.0,111.749720358
"[ppdC, ygdB]","(b2823, b2824)","[EG11154, EG11155]",b2823,b2824,2962441,2963156,715,"[468.0, 462.0]",465.0,3.0
"[ygdB, ppdB]","(b2824, b2825)","[EG11155, EG11156]",b2824,b2825,2962749,2963716,967,"[462.0, 228.0]",345.0,117.0
[ygdB],"(b2824,)",[EG11155],b2824,b2824,2962749,2963156,407,[462.0],462.0,0.0
[ppdB],"(b2825,)",[EG11156],b2825,b2825,2963153,2963716,563,[228.0],228.0,0.0
"[ppdA, thyA, lgt]","(b2826, b2827, b2828)","[EG12081, EG11002, EG12128]",b2826,b2828,2963707,2966037,2330,"[396.0, 168.0, 150.0]",238.0,111.964280018
"[thyA, lgt]","(b2827, b2828)","[EG11002, EG12128]",b2827,b2828,2964361,2966037,1676,"[168.0, 150.0]",159.0,9.0
[thyA],"(b2827,)",[EG11002],b2827,b2827,2964361,2965155,794,[168.0],168.0,0.0
"[lgt, ptsP, rppH]","(b2828, b2829, b2830)","[EG12128, EG12188, G7459]",b2828,b2830,2965162,2968977,3815,"[150.0, 132.0, 180.0]",154.0,19.7989898732
[lgt],"(b2828,)",[EG12128],b2828,b2828,2965162,2966037,875,[150.0],150.0,0.0
[ptsP],"(b2829,)",[EG12188],b2829,b2829,2966188,2968434,2246,[132.0],132.0,0.0
"[ptsP, rppH]","(b2829, b2830)","[EG12188, G7459]",b2829,b2830,2966188,2968977,2789,"[132.0, 180.0]",156.0,24.0
[rppH],"(b2830,)",[G7459],b2830,b2830,2968447,2968977,530,[180.0],180.0,0.0
[mutH],"(b2831,)",[EG10624],b2831,b2831,2969662,2970351,689,[402.0],402.0,0.0
"[ygdQ, ygdR]","(b2832, b2833)","[G7460, G7461]",b2832,b2833,2970420,2971489,1069,"[282.0, 246.0]",264.0,18.0
[ygdQ],"(b2832,)",[G7460],b2832,b2832,2970420,2971133,713,[282.0],282.0,0.0
[ygdR],"(b2833,)",[G7461],b2833,b2833,2971271,2971489,218,[246.0],246.0,0.0
"[ygdR, tas]","(b2833, b2834)","[G7461, G7462]",b2833,b2834,2971271,2972637,1366,"[246.0, 186.0]",216.0,30.0
[tas],"(b2834,)",[G7462],b2834,b2834,2971597,2972637,1040,[186.0],186.0,0.0
[lplT],"(b2835,)",[EG12455],b2835,b2835,2972669,2973862,1193,[228.0],228.0,0.0
"[lplT, aas]","(b2835, b2836)","[EG12455, EG11679]",b2835,b2836,2972669,2976014,3345,"[228.0, 474.0]",351.0,123.0
[aas],"(b2836,)",[EG11679],b2836,b2836,2973855,2976014,2159,[474.0],474.0,0.0
[galR],"(b2837,)",[EG10364],b2837,b2837,2976599,2977630,1031,[336.0],336.0,0.0
[lysA],"(b2838,)",[EG10549],b2838,b2838,2977637,2978899,1262,[344.82],344.82,0.0
[lysR],"(b2839,)",[EG10551],b2839,b2839,2979021,2979956,935,[492.0],492.0,0.0
"[ygeA, araE]","(b2840, b2841)","[EG11157, EG10056]",b2840,b2841,2979943,2982182,2239,"[390.0, 498.0]",444.0,54.0
[ygeA],"(b2840,)",[EG11157],b2840,b2840,2979943,2980635,692,[390.0],390.0,0.0
[araE],"(b2841,)",[EG10056],b2841,b2841,2980764,2982182,1418,[498.0],498.0,0.0
"[kduD, kduI]","(b2842, b2843)","[EG12361, G7463]",b2842,b2843,2982497,2984124,1627,"[534.0, 462.0]",498.0,36.0
[kduI],"(b2843,)",[G7463],b2843,b2843,2983288,2984124,836,[462.0],462.0,0.0
