	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
False	EG10962	speD	adenosylmethionine decarboxylase	characterized	characterized	3.73674718515E-05	1.00	0.734	0.274	0.274	N	N	u	S-adenosylmethionine decarboxylase	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	S-adenosylmethionine decarboxylase, spermidine biosynthesis; two subunits by cleavage: residues 1-111 are the beta chain and 112-264 are the alpha chain (153 aa)	Met Orth 	S-adenosylmethioninamine biosynthetic process
True	EG10963	speE	SpeE	characterized	characterized	7.35958779469E-05	1.00	0.867	0.26	0.331	N	N	u	spermidine synthase (putrescine aminopropyltransferase)	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Spermidine synthase	Met Orth 	spermidine biosynthetic process
True	EG10964	speF	ornithine decarboxylase	characterized	characterized	2.20186733087E-07	0.16	0.766	0.362	0.459	N	N	u	ornithine decarboxylase isozyme, inducible	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	Ornthine decarboxylase, inducible	Met Orth 	putrescine biosynthetic process from ornithine
True	EG10965	gmk	Gmk	characterized	characterized	5.89602212568E-05	1.00	N.A.	N.A.	N.A.	E	E	u	guanylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Guanylate kinase	Met Orth 	N/A
True	EG10966	spoT	guanosine 3-diphosphate 5-triphosphate 3-diphosphatase multifunctional	characterized	characterized	5.42785217076E-05	1.00	N.A.	N.A.	N.A.	?	E	u	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	Enzyme; Global regulatory functions	ppGpp 3'-pyrophosphohydrolase and ppGpp synthase II; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	Met Orth 	guanosine tetraphosphate metabolic process
False	EG10969	srlE	glucitol/sorbitol PTS permease - SrlE subunit	characterized	characterized	8.42513096849E-07	0.28	0.681	0.417	0.57	N	N	N	glucitol/sorbitol-specific enzyme IIC component of PTS	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-sorbitol-specific enzyme II of phosphotransferase system	Met Orth 	N/A
False	EG10970	srlB	glucitol/sorbitol PTS permease - SrlB subunit	characterized	characterized	6.9941849465E-07	0.28	0.772	0.426	0.646	?	N	u	glucitol/sorbitol-specific enzyme IIA component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	D-sorbitol-specific enzyme III of the phosphotransferase system	Met Orth 	N/A
True	EG10971	srlD	SrlD	characterized	characterized	2.81937568555E-06	0.53	0.695	0.266	0.165	N	N	u	sorbitol-6-phosphate dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Sorbitol-6-phosphate dehydrogenase	Met Orth 	sorbitol catabolic process
True	EG10973	gutQ	D-arabinose 5-phosphate isomerase	characterized	characterized	3.0369080296E-06	0.66	0.681	0.25	0.267	N	N	N	D-arabinose 5-phosphate isomerase	Null	D-arabinose 5-phosphate isomerase	Met Orth 	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
True	EG10979	sucA	subunit of E1(0) component of 2-oxoglutarate dehydrogenase	characterized	characterized	7.03223308556E-05	1.00	0.305	0.27	0.319	E	N	u	2-oxoglutarate decarboxylase, thiamine triphosphate-binding	Enzyme; Energy metabolism, carbon: TCA cycle	2-oxoglutarate dehydrogenase, E1 component; yields succinyl-CoA and CO(2); also known as alpha-ketoglutarate dehydrogenase	Met Orth 	N/A
True	EG10980	sucB	SucB	characterized	characterized	3.9013207756E-05	1.00	0.396	0.131	0.11	E	N	u	dihydrolipoyltranssuccinase	Enzyme; Energy metabolism, carbon: TCA cycle	2-oxoglutarate dehydrogenase, E2 component; dihydrolipoamide succinyltransferase; acid-inducible; yields succinyl-CoA and CO(2); also known as alpha-ketoglutarate dehydrogenase	Met Orth 	L-lysine catabolic process to acetyl-CoA via saccharopine
True	EG10981	sucC	succinyl-CoA synthetase	characterized	characterized	0.0001096704	1.00	0.614	0.324	0.319	N	N	N	succinyl-CoA synthetase, beta subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinyl CoA synthase beta-subunit; acid-inducible	Met Orth 	N/A
True	EG10982	sucD	succinyl-CoA synthetase	characterized	characterized	0.0001393133	1.00	0.573	0.295	0.278	N	N	N	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	Enzyme; Energy metabolism, carbon: TCA cycle	Succinyl CoA synthase alpha-subunit	Met Orth 	N/A
False	EG10983	suhB	inositol monophosphatase	characterized	characterized	2.67639366016E-05	1.00	N.A.	N.A.	N.A.	E	N	N	inositol monophosphatase	Phenotype; Global regulatory functions	Inositol-1-monophosphatase; mutation suppresses TS growth phenotype of rpoH15, dnaB121, and secY24; suhB mutations confers CS growth	Met Orth 	inositol phosphate dephosphorylation
True	EG10990	tdcB	TdcB	characterized	characterized	8.78164548377E-08	0.00	0.786	0.398	0.54	N	N	N	L-threonine dehydratase, catabolic	Enzyme; Degradation of small molecules: Amino acids	L-threonine dehydratase, catabolic, PLP-dependent; also known as threonine deaminase	Met Orth 	L-serine catabolic process
True	EG10991	tdcC	serine / threonine H<sup>+</sup> symporter TdcC	characterized	characterized	9.19359942714E-07	0.31	0.854	0.416	0.461	X	N	N	L-threonine/L-serine transporter	Transport; Transport of small molecules: Amino acids, amines	Serine/threonine:H+ symport permease	Met Orth 	L-serine transport
True	EG10993	tdh	Tdh	characterized	characterized	4.79381563699E-06	0.78	0.771	0.325	0.365	N	N	N	L-threonine 3-dehydrogenase, NAD(P)-binding	Enzyme; Degradation of small molecules: Amino acids	Threonine dehydrogenase	Met Orth 	L-threonine catabolic process to glycine
True	EG10994	tdk	thymidine kinase / deoxyuridine kinase	characterized	characterized	9.11940107931E-06	1.00	0.822	0.209	0.174	E	N	u	thymidine kinase/deoxyuridine kinase	Enzyme; Salvage of nucleosides and nucleotides	Deoxythymidine kinase	Met Orth 	N/A
False	EG10995	tesB	TesB	characterized	characterized	9.62570012203E-06	0.97	0.803	0.244	0.182	N	N	N	acyl-CoA thioesterase 2	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Acyl-CoA thioesterase 2	Met Orth 	N/A
True	EG10998	thrA	ThrA	characterized	characterized	0.0002486418	1.00	0.793	0.023	0.04	N	N	u	Bifunctional aspartokinase/homoserine dehydrogenase 1	Enzyme; Amino acid biosynthesis: Threonine	Bifunctional aspartokinase/homoserine dehydrogenase 1; threonine-sensitive	Met Orth 	homoserine biosynthetic process
True	EG10999	thrB	ThrB	characterized	characterized	0.0002014674	1.00	0.682	0.004	0.01	X	N	u	homoserine kinase	Enzyme; Amino acid biosynthesis: Threonine	Homoserine kinase	Met Orth 	threonine biosynthetic process
True	EG11000	thrC	threonine synthase	characterized	characterized	0.0001926067	1.00	0.625	0	0	N	N	u	L-threonine synthase	Enzyme; Amino acid biosynthesis: Threonine	Threonine synthase	Met Orth 	threonine biosynthetic process
True	EG11001	thrS	threonyl-tRNA synthetase	characterized	characterized	0.0001187042	1.00	N.A.	N.A.	N.A.	E	E	u	threonyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Threonine--tRNA ligase, autogenously regulated; binds Zn(II)	Met Orth 	threonyl-tRNA aminoacylation
True	EG11002	thyA	thymidylate synthase	characterized	characterized	4.94878413986E-05	1.00	0.257	0	0	E	N	u	thymidylate synthetase	Enzyme; 2'-Deoxyribonucleotide metabolism	Thymidylate synthase; aminopterin, trimethoprim resistance; homodimer	Met Orth 	dTMP biosynthetic process
True	EG11005	tnaA	TnaA	characterized	characterized	2.07906124586E-06	0.41	0.766	0.332	0.333	N	N	u	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	Enzyme; Degradation of small molecules: Amino acids	Tryptophanase, also has cysteine desulfhydrase activity; interconverts tryptophan and indole; also called L-tryptophan indole-lyase	Met Orth 	tryptophan catabolic process
True	EG11006	tnaB	tryptophan H<sup>+</sup> symporter TnaB	characterized	characterized	2.63435836946E-07	0.19	N.A.	N.A.	N.A.	N	N	u	tryptophan transporter of low affinity	Transport; Transport of small molecules: Amino acids, amines	Tryptophan:H+ symport permease, low affinity	Met Orth 	tryptophan catabolic process
False	EG11012	tonB	TonB energy transducing system - TonB subunit	characterized	characterized	8.5773184867E-05	1.00	0.841	0.232	0.229	E	N	u	membrane spanning protein in TonB-ExbB-ExbD transport complex	Membrane; Transport of small molecules: Cations	Uptake of chelated Fe(2+) and cyanocobalamin; works in conjunction with OM receptors; energy transducer; sensitivity to T1, phi80, and colicins; forms a complex with ExbB and ExbD	Met Orth 	colicin transport
True	EG11015	tpiA	triose phosphate isomerase monomer	characterized	characterized	0.0002950153	1.00	0.525	0.345	0.321	X	N	N	triosephosphate isomerase	Enzyme; Energy metabolism, carbon: Glycolysis	Triosephosphate isomerase	Met Orth 	N/A
False	EG11017	treA	periplasmic trehalase	characterized	characterized	3.65194794207E-06	0.56	0.87	0.387	0.404	N	N	u	periplasmic trehalase	Enzyme; Osmotic adaptation	Trehalase, periplasmic	Met Orth 	trehalose catabolic process
False	EG11019	trkA	NAD-binding component of TrK potassium transporter	characterized	characterized	0.000016108	0.97	0.505	0.298	0.254	N	N	N	NAD-binding component of TrK potassium transporter	Transport; Transport of small molecules: Cations	Major constitutive K+ uptake permeases TrkAG and TrkAH; high-rate, low-affinity transport; peripheral membrane protein bound to inner membrane protein TrkG or TrkH to form active permease; binds NAD+ and NADH	Met Orth 	potassium ion transmembrane transport
True	EG11021	trkH	K<sup>+</sup> transporter TrkH	characterized	characterized	6.26515238926E-06	0.88	0.684	0.236	0.291	N	N	N	potassium transporter	Transport; Transport of small molecules: Cations	Major constitutive K+ uptake permease TrkAH; high-rate, low-affinity transport; K+-translocating subunit; binds TrkA to inner membrane	Met Orth 	potassium ion transmembrane transport
True	EG11024	trpA	tryptophan synthase	characterized	characterized	9.30201592204E-05	1.00	0.604	0.008	0.013	N	N	N	tryptophan synthase, alpha subunit	Enzyme; Amino acid biosynthesis: Tryptophan	Tryptophan synthase, alpha subunit	Met Orth 	tryptophan biosynthetic process
True	EG11025	trpB	tryptophan synthase	characterized	characterized	0.0001743744	1.00	0.454	0.008	0.023	N	N	N	tryptophan synthase, beta subunit	Enzyme; Amino acid biosynthesis: Tryptophan	Tryptophan synthase, beta subunit	Met Orth 	tryptophan biosynthetic process
True	EG11026	trpC	indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	characterized	characterized	0.000110774	1.00	0.677	0.005	0.029	N	N	N	indole-3-glycerolphosphate synthetase and N-(5-phosphoribosyl)anthranilate isomerase	Enzyme; Amino acid biosynthesis: Tryptophan	Tryptophan synthesis, bifunctional: N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthase	Met Orth 	tryptophan biosynthetic process
True	EG11027	trpD	anthranilate synthase component II	characterized	characterized	0.000112377	1.00	0.763	0.03	0.039	N	N	u	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	Enzyme; Amino acid biosynthesis: Tryptophan	Anthranilate synthase component II, bifunctional; glutamine amidotransferase and phosphoribosyl anthranilate transferase; tryptophan biosynthesis	Met Orth 	tryptophan biosynthetic process
True	EG11028	trpE	anthranilate synthase component I	characterized	characterized	0.0001322845	1.00	0.894	0.02	0.037	N	N	u	component I of anthranilate synthase	Enzyme; Amino acid biosynthesis: Tryptophan	Anthranilate synthase component I	Met Orth 	tryptophan biosynthetic process
True	EG11030	trpS	tryptophanyl-tRNA synthetase	characterized	characterized	3.75495322921E-05	1.00	N.A.	N.A.	N.A.	E	E	u	tryptophanyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Tryptophan--tRNA ligase	Met Orth 	tryptophanyl-tRNA aminoacylation
True	EG11032	trxB	thioredoxin reductase monomer	characterized	characterized	8.12397108334E-05	1.00	0.715	0.507	0.462	N	N	N	thioredoxin reductase, FAD/NAD(P)-binding	Enzyme; 2'-Deoxyribonucleotide metabolism	Thioredoxin reductase, NADP+, FAD-binding; with TrxA, also has general chaperone activity; dimeric	Met Orth 	response to superoxide
True	EG11035	tsx	nucleoside channel; receptor of phage T6 and colicin K	characterized	characterized	5.22761323364E-05	1.00	0.818	0.342	0.361	N	N	u	nucleoside channel, receptor of phage T6 and colicin K	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Outer membrane channel for nucleosides; receptor for phage T6 and colicin K	Met Orth 	nucleoside transport
True	EG11039	tyrA	TyrA	characterized	characterized	0.0002973028	1.00	0.774	0.006	0.016	N	N	N	fused chorismate mutase T/prephenate dehydrogenase	Enzyme; Amino acid biosynthesis: Tyrosine	Tyrosine synthesis: chorismate mutase/prephenate dehydrogenase	Met Orth 	tyrosine biosynthetic process
True	EG11040	tyrB	TyrB	characterized	characterized	3.03400772186E-05	1.00	0.777	0.457	0.482	E	N	N	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent	Enzyme; Amino acid biosynthesis: Tyrosine	Tyrosine aminotransferase; aromatic amino acid aminotransferase; phenylalanine aminotransferase; dicarboxylic amino acid aminotransferase; homodimeric	Met Orth 	tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate
True	EG11041	tyrP	tyrosine H<sup>+</sup> symporter TyrP	characterized	characterized	2.58432260518E-06	0.72	0.748	0.4	0.453	N	N	N	tyrosine transporter	Transport; Transport of small molecules: Amino acids, amines	Tyrosine:H+ symport permease	Met Orth 	tyrosine biosynthetic process
True	EG11043	tyrS	tyrosyl-tRNA synthetase	characterized	characterized	0.0001198933	1.00	N.A.	N.A.	N.A.	E	E	u	tyrosyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Tyrosine--tRNA ligase	Met Orth 	tyrosyl-tRNA aminoacylation
False	EG11044	ubiX	3-octaprenyl-4-hydroxybenzoate decarboxylase together with UbiG	characterized	characterized	0.000005577	0.88	0.263	0.134	0.113	E	N	u	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	Putative enzyme; Not classified	3-octaprenyl-4-hydroxybenzoate carboxylyase; UbiD isozyme	Met Orth 	N/A
True	EG11045	udp	Udp	characterized	characterized	1.23725808785E-05	1.00	0.773	0.33	0.443	N	N	N	uridine phosphorylase	Enzyme; Salvage of nucleosides and nucleotides	Uridine phosphorylase	Met Orth 	UMP salvage
True	EG11046	ugpA	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative membrane subunit	characterized	characterized	1.50353765125E-06	0.44	0.783	0.368	0.452	N	N	N	sn-glycerol-3-phosphate ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	sn-Glycerol-3-phosphate ABC transporter permease	Met Orth 	glycerol-2-phosphate transport
True	EG11047	ugpB	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative periplasmic binding protein	characterized	characterized	6.84637543024E-06	0.94	0.785	0.394	0.509	N	N	N	sn-glycerol-3-phosphate ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	sn-Glycerol-3-phosphate ABC transporter periplasmic binding protein	Met Orth 	glycerol-2-phosphate transport
True	EG11048	ugpC	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative ATP binding subunit	characterized	characterized	6.25020664663E-06	0.84	0.782	0.361	0.428	X	N	N	sn-glycerol-3-phosphate ABC transporter ATPase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	sn-Glycerol-3-phosphate ABC transporter ATPase	Met Orth 	glycerol-2-phosphate transport
True	EG11049	ugpE	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative membrane subunit	characterized	characterized	1.24888584321E-06	0.28	0.819	0.27	0.218	N	N	N	sn-glycerol-3-phosphate  ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	sn-Glycerol-3-phosphate ABC transporter permease	Met Orth 	glycerol-2-phosphate transport
True	EG11050	ugpQ	glycerophosphodiester phosphodiesterase	characterized	characterized	8.98618340621E-06	0.97	0.858	0.382	0.542	N	N	u	glycerophosphodiester phosphodiesterase, cytosolic	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glycerophosphodiester phosphodiesterase; cytosolic	Met Orth 	N/A
False	EG11054	uhpT	hexose-6-phosphate phosphate antiporter	characterized	characterized	6.67985094638E-06	0.94	0.819	0.389	0.326	N	N	u	hexose phosphate transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Hexose phosphate permease; fosfomycin sensitivity; monomeric	Met Orth 	hexose phosphate transport
True	EG11060	ushA	UDP-sugar hydrolase / 5-ribonucleotidase / 5-deoxyribonucleotidase	characterized	characterized	1.94957297974E-05	1.00	0.739	0.312	0.237	N	N	u	bifunctional UDP-sugar hydrolase/5'-nucleotidase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	UDP-glucose hydrolase, 5'-nucleotidase, CDP-alcohol hydrolase; also has dinucleoside-polyphosphate hydrolase activity; periplasmic and exported enzyme; monomeric	Met Orth 	N/A
True	EG11065	uxaB	altronate oxidoreductase	characterized	characterized	5.67334467068E-07	0.19	0.702	0.208	0.087	N	N	N	altronate oxidoreductase, NAD-dependent	Enzyme; Degradation of small molecules: Carbon compounds	D-altronate oxidoreductase, NAD-dependent; galacturonate branch of hexuronate pathway	Met Orth 	D-galacturonate catabolic process
True	EG11066	uxuA	D-mannonate dehydratase	characterized	characterized	6.53057010772E-06	0.94	0.657	0.215	0.258	N	N	u	mannonate hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	D-mannonate dehydratase (hydrolase); Fe(2)-requiring; glucuronate branch of hexuronate pathway	Met Orth 	D-glucuronate catabolic process
True	EG11067	valS	valyl-tRNA synthetase	characterized	characterized	0.0001091677	1.00	N.A.	N.A.	N.A.	E	E	u	valyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Valine--tRNA ligase	Met Orth 	valyl-tRNA aminoacylation
True	EG11074	xylA	XylA	characterized	characterized	4.87625496932E-07	0.13	0.765	0.431	0.417	N	N	N	D-xylose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	D-xylose isomerase	Met Orth 	D-xylose catabolic process
True	EG11075	xylB	xylulokinase	characterized	characterized	9.41608559441E-07	0.25	0.815	0.353	0.347	?	N	N	xylulokinase	Enzyme; Degradation of small molecules: Carbon compounds	D-xylulose kinase	Met Orth 	xylulose catabolic process
True	EG11076	xylE	xylose H<sup>+</sup> symporter	characterized	characterized	1.56624002791E-06	0.28	0.698	0.287	0.317	N	N	u	D-xylose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Xylose/H+ symporter	Met Orth 	D-xylose transport
True	EG11079	ribF	bifunctional riboflavin kinase / FMN adenylyltransferase	characterized	characterized	2.54054599194E-05	1.00	N.A.	N.A.	N.A.	E	N	u	bifunctional riboflavin kinase/FAD synthetase	Putative regulator; Not classified	Riboflavin kinase and FAD synthase	Met Orth 	FAD biosynthetic process
True	EG11081	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	characterized	characterized	1.7283455192E-05	0.97	N.A.	N.A.	N.A.	E	E	u	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	Null	4-hydroxy-3-methylbut-2-enyl diphosphate reductase; last, branched, step of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) synthesis from 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate; alternative nonmevalonate (DXP) pathway for terp	Met Orth 	dimethylallyl diphosphate biosynthetic process
True	EG11082	rihC	ribonucleoside hydrolase 3	characterized	characterized	1.93419933715E-06	0.59	0.803	0.23	0.263	N	u	N	ribonucleoside hydrolase 3	Null	Ribonucleoside hydrolase	Met Orth 	N/A
True	EG11090	mtn	5-methylthioadenosine/S-adenosylhomocysteine nucleosidase monomer	characterized	characterized	4.546017712E-05	1.00	0.635	0.151	0.101	E	N	u	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Null	5'-Methylthioadenosine nucleosidase; S-adenosylhomocysteine and 5'-deoxyadenosine are also substrates	Met Orth 	L-methionine salvage from methylthioadenosine
True	EG11095	acpH	acyl carrier protein phosphodiesterase	characterized	characterized	3.90975991855E-06	0.72	0.883	0.281	0.297	N	u	u	acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase	Enzyme; Not classified	Acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase	Met Orth 	N/A
True	EG11102	gsk	Gsk	characterized	characterized	9.47931344191E-06	0.91	0.777	0.295	0.213	N	N	u	inosine/guanosine kinase	Enzyme; Salvage of nucleosides and nucleotides	Inosine-guanosine kinase	Met Orth 	IMP salvage
False	EG11104	entS	enterobactin efflux transporter EntS	characterized	characterized	1.54167474809E-05	1.00	0.662	0.242	0.181	X	N	N	enterobactin exporter, iron-regulated	Putative transport; Not classified	Enterobactin exporter, iron-regulated	Met Orth 	enterobactin transport
False	EG11110	ybgC	esterase/thioesterase	characterized	unknown	5.48435264784E-05	1.00	0.719	0.26	0.256	E	N	N	acyl-CoA thioester hydrolase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Acyl-CoA thioesterase; possibly involved in phospholipid metabolism; binds ACP; acyl-ACP could be native substrate	Met Orth 	N/A
True	EG11135	pncA	pyrazinamidase / nicotinamidase	characterized	characterized	2.25152822746E-05	1.00	0.652	0.183	0.252	N	N	u	nicotinamidase/pyrazinamidase	Null	Pyrazinamidase/nicotinamidase	Met Orth 	N/A
True	EG11138	nudB	dihydroneopterin triphosphate pyrophosphohydrolase	characterized	characterized	2.48573405683E-05	1.00	0.732	0.312	0.547	E	N	N	dihydroneopterin triphosphate pyrophosphatase	Enzyme; folate metabolism	Dihydroneopterin triphosphate pyrophosphohydrolase; early step in folate synthesis 	Met Orth 	N/A
True	EG11143	ubiG	UbiG	characterized	characterized	2.84764137382E-05	1.00	0.274	0.093	0.054	E	N	u	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	SAM:OMHMB methyltransferase; Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octaprenyl-6-methoxyphenol; 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone to ubiquinone 8	Met Orth 	N/A
False	EG11150	hyfA	hydrogenase 4	characterized	characterized	1.72562151999E-07	0.03	0.679	0.386	0.316	N	N	N	hydrogenase 4, 4Fe-4S subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Hydrogenase 4 component A, ferrodexin-like	Met Orth 	N/A
True	EG11158	fau	5-formyltetrahydrofolate cyclo-ligase	characterized	characterized	8.7433318071E-06	0.91	0.735	0.382	0.548	N	u	N	5-formyltetrahydrofolate cyclo-ligase family protein	Putative enzyme; Not classified	5-formyltetrahydrofolate cycloligase, folinic acid catabolism; also known as 5,10-methenyltetrahydrofolate synthase (MTHFS)	Met Orth 	dormancy process
False	EG11159	argO	arginine export protein	characterized	characterized	0.000004947	0.81	0.723	0.288	0.339	E	u	u	arginine transporter	Null	Arginine exporter	Met Orth 	arginine transport
True	EG11167	zupT	heavy metal divalent cation transporter ZupT	characterized	characterized	1.60867865053E-05	1.00	0.715	0.292	0.279	N	N	N	zinc transporter	Null	Zinc and other divalent cation uptake transporter	Met Orth 	manganese ion transport
True	EG11168	ttdA	L-tartrate dehydratase	characterized	characterized	3.29263402899E-07	0.06	0.711	0.257	0.296	X	N	N	L-tartrate dehydratase, alpha subunit	Enzyme; Energy metabolism, carbon: Fermentation	L-tartrate dehydratase alpha subunit	Met Orth 	N/A
True	EG11169	ttdB	L-tartrate dehydratase	characterized	characterized	2.82608413813E-07	0.16	0.786	0.389	0.386	N	N	N	L-tartrate dehydratase, beta subunit	Enzyme; Energy metabolism, carbon: Fermentation	L-tartrate dehydratase beta subunit	Met Orth 	N/A
True	EG11172	tdcD	propionate kinase	characterized	characterized	3.09697873787E-07	0.13	0.782	0.307	0.37	N	N	u	propionate kinase/acetate kinase C, anaerobic	Putative enzyme; Not classified	Propionate kinase, anaerobic; non-essential gene	Met Orth 	anaerobic amino acid catabolic process
True	EG11175	garK	glycerate kinase I	characterized	characterized	1.32843249705E-06	0.38	0.813	0.413	0.474	X	u	u	glycerate kinase I	Null	Glycerate 2-kinase, glycolate-, glycerate- or glucarate-inducible; GKI; produces 2-phospho-glycerate	Met Orth 	organic acid phosphorylation
True	EG11176	garR	tartronate semialdehyde reductase	characterized	characterized	0.000001161	0.38	0.803	0.4	0.368	N	u	N	tartronate semialdehyde reductase	Null	Tartronate semialdehyde reductase, glycerate- or galactarate-inducible	Met Orth 	glucarate catabolic process
True	EG11189	waaC	ADP-heptose LPS heptosyltransferase I	characterized	characterized	8.16655379482E-06	0.91	0.293	0.265	0.271	E	N	u	ADP-heptose:LPS heptosyl transferase I	Enzyme; Macromolecule metabolism: Lipopolysaccharide	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO	Met Orth 	N/A
True	EG11190	coaD	pantetheine-phosphate adenylyltransferase monomer	characterized	characterized	8.45936052244E-06	0.97	N.A.	N.A.	N.A.	E	E	u	pantetheine-phosphate adenylyltransferase	Enzyme; Not classified	Phosphopantetheine adenylyltransferase	Met Orth 	coenzyme A biosynthetic process
True	EG11194	xanP	xanthine H<sup>+</sup> symporter XanP	characterized	characterized	0.00002796	1.00	0.867	0.355	0.374	N	N	u	xanthine permease	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Xanthine permease	Met Orth 	xanthine transport
True	EG11198	glmU	GlmU	characterized	characterized	3.02817010006E-05	1.00	N.A.	N.A.	N.A.	E	E	u	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-phosphate uridylyltransferase, hexameric	Met Orth 	UDP-N-acetylglucosamine biosynthetic process
True	EG11204	murI	MurI	characterized	characterized	1.091847257E-05	0.97	N.A.	N.A.	N.A.	E	E	u	glutamate racemase	Enzyme; Murein sacculus, peptidoglycan	Glutamate racemase, D-glutamate synthesis	Met Orth 	N/A
True	EG11205	murB	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	characterized	characterized	1.39045867638E-05	1.00	N.A.	N.A.	N.A.	N	E	u	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	Enzyme; Murein sacculus, peptidoglycan	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	Met Orth 	N/A
True	EG11221	zwf	glucose 6-phosphate-1-dehydrogenase	characterized	characterized	0.000062594	1.00	0.759	0.231	0.223	E	N	u	glucose-6-phosphate 1-dehydrogenase	Enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	Glucose-6-phosphate 1-dehydrogenase	Met Orth 	pentose-phosphate shunt oxidative branch
True	EG11223	argH	argininosuccinate lyase	characterized	characterized	3.98991951289E-05	1.00	0.762	0.002	0.001	N	N	u	argininosuccinate lyase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate lyase	Met Orth 	arginine biosynthetic process via ornithine
True	EG11225	dcuA	dicarboxylate transporter DcuA	characterized	characterized	2.97848370369E-05	1.00	0.647	0.328	0.414	N	N	N	C4-dicarboxylate antiporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylate transporter, anaerobic	Met Orth 	C4-dicarboxylate transport
True	EG11226	leuA	2-isopropylmalate synthase	characterized	characterized	0.0002293243	1.00	0.779	0.026	0.034	N	N	u	2-isopropylmalate synthase	Enzyme; Amino acid biosynthesis: Leucine	Alpha-isopropylmalate synthase	Met Orth 	N/A
