Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG12128	lgt	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	characterized	characterized	0.000026589	1.00	N.A.	N.A.	N.A.	E	E	N	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerol:prolipoprotein diacylglycerol transferase	Protein maturation side-chain modification	lipoprotein biosynthetic process
EG12178	dipZ	protein disulfide oxidoreductase - DsbD<sub>reduced</sub>	characterized	characterized	1.16218780895E-05	1.00	0.696	0.381	0.72	N	N	N	thiol:disulfide interchange protein and activator of DsbC	Putative enzyme; Central intermediary metabolism: Sulfur metabolism	Transmembrane protein-disulfide reductase, transfers electrons from cytoplasmic thioredoxin to the periplasm	Protein maturation side-chain modification	cellular response to temperature stimulus
EG12449	prmB	protein-glutamine N-methyltransferase	characterized	characterized	2.71716585488E-05	1.00	0.8	0.286	0.276	N	u	N	N5-glutamine methyltransferase	Putative enzyme; Not classified	50S subunit L3 protein glutamine methyltransferase	Protein maturation side-chain modification	peptidyl-glutamine methylation
G6333	dsbG	DsbG<SUB>reduced</SUB>	characterized	characterized	1.09874601978E-05	1.00	0.854	0.415	0.5	N	N	u	thiol:disulfide interchange protein, periplasmic	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Thiol:disulfide interchange protein, periplasmic; molecular chaperone; multicopy resistance to DTT; mutants accumulate reduced proteins	Protein maturation side-chain modification	N/A
G7211	sixA	phosphohistidine phosphatase	characterized	characterized	4.347536512E-05	1.00	0.73	0.331	0.34	X	N	N	phosphohistidine phosphatase	Null	Phosphohistidine phosphatase affecting ArcB H-D phosphorelay; targets Hpt domain	Protein maturation side-chain modification	N/A
G7865	fklB	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase (rotamase)	characterized	characterized	2.28100696004E-05	1.00	0.719	0.228	0.134	N	u	N	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	Enzyme; Proteins - translation and modification	FKBP-type peptidyl-prolyl cis-trans isomerase; contains pipecolic acid residue	Protein maturation side-chain modification	N/A
G7925	iadA	IadA	characterized	characterized	3.51526791602E-06	0.59	0.832	0.388	0.431	N	N	N	isoaspartyl dipeptidase	Enzyme; Degradation of proteins, peptides, glyco	Isoaspartyl dipeptidase	Protein maturation side-chain modification	N/A
EG10311	fimD	FimD monomer	characterized	characterized	6.55738193471E-06	0.94	0.48	0.245	0.252	N	N	u	fimbrial usher outer membrane porin protein; FimCD chaperone-usher	Membrane; Outer membrane constituents	Fimbrial usher outer membrane porin protein; export, assembly and anchoring of type 1 fimbriae (pili); FimCD chaperone-usher	Protein maturation translocation 	pilus assembly
EG10766	secY	SecY	characterized	characterized	0.0002303641	1.00	N.A.	N.A.	N.A.	E	E	u	preprotein translocase membrane subunit	Putative transport; Not classified	SecYEG inner membrane translocon core subunit; preprotein translocase secAYEG subunit; core translocon secYE subunit	Protein maturation translocation 	protein transport by the Sec complex
EG10936	secA	SecA	characterized	characterized	0.00005426	1.00	N.A.	N.A.	N.A.	E	E	u	preprotein translocase subunit, ATPase	Transport; Protein, peptide secretion	Preprotein translocase secAYEG receptor/ATPase subunit; autogenous translational repressor; ATP-dependent helicase activity on secMA mRNA; homodimeric/monomeric	Protein maturation translocation 	protein import
EG10937	secB	SecB	characterized	characterized	0.0001067901	1.00	0.744	0.229	0.202	E	N	u	protein export chaperone	Transport; Protein, peptide secretion	Protein export chaperone; SecB helps SecA deliver proteins to the SecYEG translocon; general protein chaperone	Protein maturation translocation 	protein tetramerization
EG10938	secD	SecD	characterized	characterized	7.23191968187E-05	1.00	N.A.	N.A.	N.A.	E	N	u	SecYEG protein translocase auxillary subunit	Transport; Protein, peptide secretion	SecDFyajC inner membrane secretion protein complex subunit; assists the SecYEG translocon to interact with SecA and export proteins	Protein maturation translocation 	N/A
EG10939	secE	SecE	characterized	characterized	0.0001506089	1.00	N.A.	N.A.	N.A.	N	E	u	preprotein translocase membrane subunit	Transport; Protein, peptide secretion	SecYEG inner membrane translocon core subunit; preprotein translocase secAYEG subunit; core translocon secYE subunit	Protein maturation translocation 	protein transport by the Sec complex
EG10940	secF	SecF	characterized	characterized	2.67913447772E-05	1.00	N.A.	N.A.	N.A.	E	N	u	SecYEG protein translocase auxillary subunit	Transport; Protein, peptide secretion	SecDFyajC inner membrane secretion protein complex subunit; assists the SecYE core translocon to interact with SecA and export proteins	Protein maturation translocation 	N/A
EG11096	yajC	YajC	characterized	unknown	0.0001957711	1.00	0.303	0.234	0.265	?	N	u	SecYEG protein translocase auxillary subunit	Null	SecDFyajC membrane secretion complex subunit; assists the SecYE translocon to interact with SecA and export proteins	Protein maturation translocation 	N/A
EG11197	yidC	inner-membrane protein insertion factor	characterized	unknown	5.76968028803E-05	1.00	N.A.	N.A.	N.A.	?	E	u	membrane protein insertase	Membrane; Inner membrane	Membrane protein insertase; inner membrane protein integration factor; binds TM regions of nascent IMPs; required for Sec-independent IMP integration; associated with the Sec translocase	Protein maturation translocation 	protein insertion into membrane
EG11224	fliO	flagellar biosynthesis protein FliO	characterized	characterized	1.39514439139E-05	1.00	0.519	0.254	0.287	N	N	u	flagellar biosynthesis protein	Putative structure; Surface structures	Flagellin export apparatus, integral membrane protein	Protein maturation translocation 	N/A
EG11293	lolB	outer membrane lipoprotein	characterized	characterized	1.92395354409E-05	1.00	N.A.	N.A.	N.A.	X	E	u	lipoprotein localization factor	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	OM lipoprotein required for localization of lipoproteins	Protein maturation translocation 	N/A
EG11305	tatE	TatE	characterized	characterized	1.37171214935E-05	0.97	0.829	0.32	0.397	?	u	u	TatABCE protein translocation system subunit	Null	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins	Protein maturation translocation 	intracellular protein transmembrane transport
EG11388	fliS	flagellar biosynthesis protein FliS	characterized	characterized	0.000108417	1.00	0.414	0.278	0.281	N	N	N	flagellar protein potentiates polymerization	Regulator; Surface structures	Flagellar chaperone, inhibits premature FliC assembly; cytosolic	Protein maturation translocation 	N/A
EG11389	fliT	flagellar biosynthesis protein FliT	characterized	characterized	5.67164982344E-05	1.00	0.803	0.286	0.309	N	N	N	putative flagellar synthesis and assembly chaperone	Regulator; Surface structures	Flagellar synthesis, predicted chaperone, role unknown	Protein maturation translocation 	N/A
EG11479	tatC	TatC	characterized	characterized	3.14957056584E-05	1.00	0.665	0.165	0.18	N	u	u	TatABCE protein translocation system subunit	Null	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins	Protein maturation translocation 	intracellular protein transmembrane transport
EG12095	secG	SecG	characterized	characterized	0.0001658121	1.00	0.597	0.353	0.375	X	N	N	preprotein translocase membrane subunit	Transport; Protein, peptide secretion	SecYEG inner membrane translocon secA-interacting subunit; preprotein translocase secAYEG subunit; preprotein translocase secAYEG subunit	Protein maturation translocation 	protein transport by the Sec complex
G0-10470	yidD	inner membrane protein insertion factor	characterized	unknown	9.47657695062E-05	1.00	0.534	0.331	0.134	-	u	u	membrane protein insertion efficiency factor, UPF0161 family inner membrane protein	Membrane; Inner membrane	Membrane protein insertion efficiency factor, inner membrane protein	Protein maturation translocation 	protein insertion into membrane
G6093	bamA	Outer Membrane Protein Assembly Complex - BamA subunit	characterized	characterized	0.0001358874	1.00	N.A.	N.A.	N.A.	E	u	u	BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor	Null	Outer membrane protein required for OM biogenesis; in BamABCDE complex; forms pores; PORTA repeats	Protein maturation translocation 	protein insertion into membrane
G6465	lolA	periplasmic chaperone	characterized	characterized	2.82995010728E-05	1.00	N.A.	N.A.	N.A.	N	E	u	lipoprotein chaperone	Transport; Protein, peptide secretion	Periplasmic protein responsible for sorting and transporting lipoproteins to outer membrane	Protein maturation translocation 	lipoprotein transport
G6545	csgE	curli transport specificity factor	characterized	characterized	7.95862681321E-06	0.94	0.735	0.403	0.393	E	N	u	curlin secretion specificity factor	Structural component; Surface structures	Curlin secretion specificity factor; blocks CsgA amyloid formation; CsgEFG curlin secretion complex	Protein maturation translocation 	N/A
G6562	flgN	flagellar biosynthesis protein FlgN	characterized	characterized	0.0001627859	1.00	0.467	0.319	0.388	N	N	u	export chaperone for FlgK and FlgL	Phenotype; Surface structures	Initiation of flagellar filament assembly	Protein maturation translocation 	N/A
G7701	gspA	general secretory pathway component	characterized	characterized	3.11920783789E-07	0.16	0.857	0.351	0.399	N	u	N	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergent operons; type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergent operons secretes ChiA, requires gspAB operon	Protein maturation translocation 	N/A
G7704	gspE	putative protein secretion protein for export	characterized	characterized	2.84481817344E-07	0.03	0.683	0.236	0.291	N	u	N	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Protein maturation translocation 	N/A
G7708	gspI	putative protein secretion protein for export	characterized	characterized	3.49621108558E-07	0.19	0.709	0.273	0.301	X	u	u	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Protein maturation translocation 	N/A
G7709	gspJ	putative protein secretion protein for export	characterized	characterized	3.4084564845E-07	0.09	0.732	0.228	0.33	N	u	u	putative general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Protein maturation translocation 	N/A
G7710	gspK	putative protein secretion protein for export	characterized	characterized	6.98600088859E-07	0.31	0.743	0.198	0.204	N	u	u	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Protein maturation translocation 	N/A
G7806	tatA	TatA	characterized	characterized	0.0002252365	1.00	0.797	0.382	0.397	N	N	u	TatABCE protein translocation system subunit	Null	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins	Protein maturation translocation 	intracellular protein transmembrane transport
G7808	tatB	TatB	characterized	characterized	0.0001112931	1.00	0.655	0.22	0.205	N	u	N	TatABCE protein translocation system subunit	Null	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins	Protein maturation translocation 	protein transport by the Tat complex
EG10309	fimB	regulator for fimA	characterized	characterized	1.09014491694E-05	1.00	0.584	0.314	0.399	X	N	N	tyrosine recombinase/inversion of on/off regulator of fimA	Regulator; Surface structures	Site-specific recombinase, fimA promoter inversion; mediates fimbriae phase switching, along with FimE	Recombination 	N/A
EG10312	fimE	regulator for fimA	characterized	characterized	6.4269835741E-07	0.19	0.89	0.295	0.532	X	N	u	tyrosine recombinase/inversion of on/off regulator of fimA	Regulator; Surface structures	Site-specific recombinase, fimA promoter inversion; biased towards the "ON to OFF" fimbriae phase switching direction	Recombination 	N/A
EG10426	helD	DNA helicase IV	characterized	characterized	7.90873278777E-06	0.91	0.824	0.315	0.351	N	N	u	DNA helicase IV	Enzyme; DNA - replication, repair, restriction/modification	ATP-dependent DNA Helicase IV	Recombination 	N/A
EG10737	pinE	e14 prophage; site-specific DNA recombinase	characterized	characterized	1.29243680897E-07	0.00	0.752	0.333	0.381	N	N	u	e14 prophage; site-specific DNA recombinase	Membrane; Phage or Prophage Related	DNA-invertase, site-specific recombination, e14 prophage	Recombination 	N/A
EG10824	recB	RecB	characterized	characterized	8.70462402728E-06	0.91	0.583	0.29	0.273	N	N	N	exonuclease V (RecBCD complex), beta subunit	Enzyme; Degradation of DNA	RecBCD Exonuclease V subunit, recombination and repair; chi-activated RecBCD recombinase subunit; RecBCD 3'-5' slow helicase subunit; contains nuclease active site and ATP-binding site; RecB alone has 3'-5' helicase activity; binds RecC	Recombination 	double-strand break repair
EG10825	recC	RecC	characterized	characterized	5.8112848156E-06	0.91	0.65	0.239	0.242	N	N	N	exonuclease V (RecBCD complex), gamma chain	Enzyme; Degradation of DNA	RecBCD Exonuclease V subunit, recombination and repair; chi-activated RecBCD recombinase subunit; binds RecB and RecD; may confer processivity on holoenzyme	Recombination 	double-strand break repair
EG10826	recD	RecD	characterized	characterized	4.86757152009E-06	0.75	0.801	0.273	0.307	N	N	u	exonuclease V (RecBCD complex), alpha chain	Enzyme; Degradation of DNA	RecBCD Exonuclease V subunit, recombination and repair; recD mutants are constitutively activated for recombination; RecBCD 5'-3' fast helicase subunit; RecD alone has 5'-3' helicase activity; contains ATP-binding site; binds RecC; inhibits RecA loading	Recombination 	double-strand break repair
EG10828	recF	ssDNA and dsDNA binding	characterized	characterized	8.81533518044E-06	0.97	0.671	0.218	0.098	N	N	N	gap repair protein	Regulator; DNA - replication, repair, restriction/modification	Recombination and repair; antagonizes RecX inhibition of RecA filament formation	Recombination 	DNA synthesis involved in DNA repair
EG10829	recG	RecG DNA helicase	characterized	characterized	1.3603614585E-05	0.94	0.783	0.242	0.344	N	N	N	ATP-dependent DNA helicase	Enzyme; DNA - replication, repair, restriction/modification	Junction-specific ATP-dependent DNA helicase; facilitates branch migration of Holliday junctions; rewinding enzyme	Recombination 	DNA duplex unwinding
EG10830	recJ	RecJ	characterized	characterized	1.46180862467E-05	1.00	0.766	0.402	0.355	N	N	N	ssDNA exonuclease, 5' --> 3'-specific	Enzyme; Degradation of DNA	ssDNA 5'-3' exonuclease involved in recombination	Recombination 	N/A
EG10831	recN	protein used in recombination and DNA repair	characterized	characterized	0.000004635	0.94	0.707	0.298	0.385	N	N	u	recombination and repair protein	Putative enzyme; DNA - replication, repair, restriction/modification	Recombination and repair	Recombination 	double-strand break repair via homologous recombination
EG10832	recO	protein interacts with RecR and possibly RecF proteins	characterized	characterized	9.11748282136E-06	0.94	0.526	0.315	0.335	N	N	u	gap repair protein	Regulator; DNA - replication, repair, restriction/modification	Conjugational recombination and repair; DNA-binding protein; RecA-like strand assimilation	Recombination 	N/A
EG10833	recQ	ATP-dependent DNA helicase	characterized	characterized	7.29676410654E-06	0.94	0.788	0.29	0.341	N	N	N	ATP-dependent DNA helicase	Enzyme; DNA - replication, repair, restriction/modification	DNA helicase involved in recombination, replication, repair; ATP-dependent; monomeric	Recombination 	N/A
EG10834	recR	recombination and repair	characterized	characterized	7.04296108975E-05	1.00	0.74	0.308	0.332	N	N	u	gap repair protein	Putative enzyme; DNA - replication, repair, restriction/modification	Recombination and DNA repair	Recombination 	DNA synthesis involved in DNA repair
EG10925	ruvC	Holliday junction nuclease; resolution of structures; repair	characterized	characterized	2.519984415E-05	1.00	0.606	0.361	0.326	E	N	N	component of RuvABC resolvasome, endonuclease	Enzyme; DNA - replication, repair, restriction/modification	RuvC endonuclease, Holliday structure resolvase; not SOS regulated	Recombination 	replication fork reversal
EG10976	ssb	ssDNA-binding protein	characterized	characterized	4.17066560448E-05	1.00	N.A.	N.A.	N.A.	X	E	u	single-stranded DNA-binding protein	Factor; DNA - replication, repair, restriction/modification	Single-stranded DNA-binding protein; alkali-inducible; homotetramer	Recombination 	recombinational repair
EG11472	rmuC	predicted recombination limiting protein	unknown	unknown	2.45809509718E-06	0.56	0.79	0.24	0.188	N	u	N	DNA recombination protein	Phenotype; Not classified	DNA recombination protein; mutants have elevated recombination at microhomologies	Recombination 	N/A
G6306	rusA	endodeoxyribonuclease RUS (Holliday junction resolvase)	characterized	characterized	1.4907188287E-07	0.03	0.749	0.276	0.305	E	N	u	DLP12 prophage; endonuclease RUS	Enzyme; Degradation of DNA; Phage or Prophage Related	Endonuclease, Holliday structure resolvase, DLP12 prophage	Recombination 	N/A
RUVA	ruvA	branch migration of Holliday structures; repair	characterized	characterized	1.30322684226E-05	1.00	0.582	0.242	0.267	N	N	N	component of RuvABC resolvasome, regulatory subunit	Enzyme; DNA - replication, repair, restriction/modification	Holliday junction recognition factor, recruits RuvB; works in conjunction with RuvB helicase to drive branch migration during recombination	Recombination 	replication fork reversal
RUVB	ruvB	branch migration of Holliday structures; repair helicase	characterized	characterized	7.85217452087E-06	1.00	0.599	0.178	0.199	N	N	u	ATP-dependent DNA helicase, component of RuvABC resolvasome	Enzyme; DNA - replication, repair, restriction/modification	DNA helicase driving branch migration during recombination; hexameric ring	Recombination 	replication fork reversal
EG10236	dnaB	DnaB	characterized	characterized	2.82228622699E-05	1.00	N.A.	N.A.	N.A.	E	E	u	replicative DNA helicase	Factor; DNA - replication, repair, restriction/modification	Replicative DNA helicase; DNA-dependent ATPase involved in DNA synthesis; binds DNA contrahelicase termination protein Tus at Ter sites; possibly involved in DNA recombination	Replication 	DNA unwinding involved in replication
EG10237	dnaC	chromosome replication; initiation and chain elongation	characterized	characterized	5.95728837956E-06	0.88	N.A.	N.A.	N.A.	E	E	u	DNA biosynthesis protein	Enzyme; DNA - replication, repair, restriction/modification	DNA biosynthesis, helicase DnaB loader; dual ATP/ADP switch protein	Replication 	DNA strand elongation involved in DNA replication
EG10238	dnaE	DNA polymerase III	characterized	characterized	1.08091677443E-05	0.97	N.A.	N.A.	N.A.	E	E	u	DNA polymerase III alpha subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, alpha subunit; suppressor of dnaG-Ts	Replication 	N/A
EG10239	dnaG	DNA primase	characterized	characterized	5.07537642461E-05	1.00	0.42	0.225	0.236	E	E	N	DNA primase	Enzyme; DNA - replication, repair, restriction/modification	Primase for DNA replication; primer synthesis for leading- and lagging-strand synthesis; binds Zn(II)	Replication 	DNA replication synthesis of RNA primer
EG10242	dnaN	DnaN	characterized	characterized	0.000042001	1.00	N.A.	N.A.	N.A.	X	E	u	DNA polymerase III, beta subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III sliding clamp beta subunit; required for high processivity; required for regulatory inactivation of DnaA	Replication 	DNA strand elongation involved in DNA replication
EG10243	dnaQ	DNA polymerase III	characterized	characterized	1.55660877608E-05	1.00	0.837	0.199	0.176	E	N	N	DNA polymerase III epsilon subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III epsilon subunit; streptomycin, azaserine resistant; 3' to 5' proofreading, lexA regulon	Replication 	DNA replication proofreading
EG10244	dnaT	primosomal protein DnaT	characterized	characterized	0.000006428	0.88	0.179	0.06	0.133	E	E	u	DNA biosynthesis protein (primosomal protein I)	Factor; DNA - replication, repair, restriction/modification	Primasomal protein i	Replication 	pre-replicative complex assembly
EG10245	dnaX	DNA polymerase III	characterized	characterized	2.67390875435E-05	1.00	N.A.	N.A.	N.A.	E	E	u	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III holoenzyme, tau and gamma ATPase subunits; gamma chain (aa 1-431) is main subunit of the clamp loader complex	Replication 	N/A
EG10440	ihfA	integration host factor (IHF)	characterized	characterized	0.0001598593	1.00	0.473	0.143	0.079	X	N	u	integration host factor (IHF), DNA-binding protein, alpha subunit	Factor; DNA - replication, repair, restriction/modification	Integration Host Factor (IHF), alpha subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator	Replication 	conjugation
EG10441	ihfB	integration host factor (IHF)	characterized	characterized	0.0001448634	1.00	0.431	0.133	0.2	N	N	u	integration host factor (IHF), DNA-binding protein, beta subunit	Factor; DNA - replication, repair, restriction/modification	Integration Host Factor (IHF), beta subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator	Replication 	conjugation
EG10746	polA	DNA polymerase I	characterized	characterized	2.03445280506E-05	1.00	0.812	0.428	0.594	N	E	N	5' to 3' DNA polymerase and 3' to 5'/5' to 3' exonuclease	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase I; required for plasmid replication; translesion synthesis; synthetic lethal with ygdG	Replication 	N/A
EG10747	polB	DNA polymerase II	characterized	characterized	0.000002645	0.59	0.722	0.401	0.404	N	N	u	DNA polymerase II	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase II, capable of translesion synthesis; role in the resumption of DNA synthesis after UV irradiation	Replication 	nucleotide-excision repair DNA gap filling
EG10763	priA	primosome factor N	characterized	characterized	2.98616868664E-06	0.75	0.048	0.052	0.131	E	N	u	Primosome factor n' (replication factor Y)	Factor; DNA - replication, repair, restriction/modification	Primosome factor Y, also called protein n'; ATP-dependent DNA helicase activity required for recA-dependent stable DNA replication mode; also involved in double-strand break repair	Replication 	response to gamma radiation
EG10764	priB	PriB	characterized	characterized	0.000412819	1.00	0.871	0.182	0.273	E	N	u	primosomal protein N	Factor; DNA - replication, repair, restriction/modification	Primosomal protein n; ssDNA-binding protein	Replication 	DNA replication synthesis of RNA primer
EG10765	priC	primosomal replication protein N	characterized	characterized	3.52928038206E-06	0.63	0.718	0.337	0.411	E	N	u	primosomal replication protein N''	Factor; DNA - replication, repair, restriction/modification	Primosomal protein n	Replication 	DNA replication synthesis of RNA primer
EG10837	rep	rep	characterized	characterized	5.15787148294E-06	0.78	0.448	0.37	0.452	E	N	N	DNA helicase and single-stranded DNA-dependent ATPase	Enzyme; DNA - replication, repair, restriction/modification	ATP-dependent DNA helicase Rep, involved in DNA replication; ssDNA-dependent ATPase; camphor resistance	Replication 	DNA unwinding involved in replication
EG10927	sbcC	ATP-dependent dsDNA exonuclease	characterized	characterized	4.89490171432E-06	0.88	0.747	0.311	0.356	N	N	u	exonuclease, dsDNA, ATP-dependent	Enzyme; Degradation of DNA	DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; required for recombinational repair of dsDNA breaks; cosuppressor with sbcB of recB recC mutations; heterodimeric	Replication 	recombinational repair
EG11038	tus	DNA-binding protein; inhibition of replication at Ter sites	characterized	characterized	5.07981779536E-06	0.78	0.746	0.362	0.381	E	N	N	inhibitor of replication at Ter, DNA-binding protein	Factor; DNA - replication, repair, restriction/modification	DNA contrahelicase, terminus utilization substance	Replication 	DNA replication termination
EG11412	holA	DNA polymerase III	characterized	characterized	3.79076236802E-05	1.00	N.A.	N.A.	N.A.	E	E	u	DNA polymerase III, delta subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, delta subunit; part of the DnaX clamp loader complex; acts as a wrench to open the sliding clamp	Replication 	N/A
EG11413	holC	DNA polymerase III	characterized	characterized	0.000030453	1.00	0.249	0.126	0.097	E	N	N	DNA polymerase III, chi subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, chi subunit	Replication 	positive regulation of DNA-dependent DNA replication initiation
EG11414	holD	DNA polymerase III	characterized	characterized	1.98866898952E-05	1.00	0.843	0.394	0.252	?	N	u	DNA polymerase III, psi subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase, psi subunit, clamp loader complex subunit	Replication 	N/A
EG11500	holB	DNA polymerase III	characterized	characterized	1.22705629529E-05	0.97	N.A.	N.A.	N.A.	E	E	u	DNA polymerase III, delta prime subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, delta' subunit; part of the DnaX clamp loader complex, the stator protein	Replication 	N/A
EG11505	holE	DNA polymerase III	characterized	characterized	5.11465892971E-05	1.00	0.743	0.3	0.536	?	N	u	DNA polymerase III, theta subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, theta subunit	Replication 	N/A
EG12690	rarA	recombination factor	characterized	characterized	7.51862783532E-06	0.91	0.786	0.351	0.376	N	N	N	recombination intermediate processing DNA-dependent ATPase	Putative enzyme; Not classified	DNA-dependent ATPase involved in processing recombination intermediates; tetrameric	Replication 	N/A
G7313	hda	regulator of DnaA that prevents premature reinitiation of DNA replication	characterized	characterized	1.81145327035E-05	1.00	0.744	0.241	0.265	E	E	u	ATPase regulatory factor involved in DnaA inactivation	Putative factor; Not classified	Required for regulatory inactivation of DnaA; multicopy suppressor of dnaN(ts)	Replication 	negative regulation of DNA-dependent DNA replication initiation
EG10235	dnaA	chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator	characterized	characterized	5.27045340796E-05	1.00	N.A.	N.A.	N.A.	E	E	u	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator	Regulator; DNA - replication, repair, restriction/modification	DNA synthesis initiator and global transcription regulator; binds DNA at DnaA boxes, binds cardiolipin and other acidic phospholipids, binds ATP	Replication initiation 	DNA replication initiation
EG10466	hupA	transcriptional dual regulator HU-&alpha; (HU-2)	characterized	characterized	0.0005808967	1.00	0.821	0.318	0.341	N	N	N	HU, DNA-binding transcriptional regulator, alpha subunit	Factor; Basic proteins - synthesis, modification	Histone-like protein HU-alpha, HU-2	Replication initiation 	chromosome condensation
EG10467	hupB	transcriptional dual regulator HU-&beta;	characterized	characterized	0.0002867081	1.00	0.792	0.339	0.375	N	N	N	HU, DNA-binding transcriptional regulator, beta subunit	Factor; Basic proteins - synthesis, modification	Histone-like protein HU-beta, HU-1	Replication initiation 	chromosome condensation
EG10490	argP	ArgP transcriptional activator	characterized	characterized	0.000014409	0.94	0.783	0.255	0.275	N	N	N	transcriptional regulator for arginine transport and DNA replication genes; replication initiation inhibitor	Regulator; DNA - replication, repair, restriction/modification	Inhibitor of chromosome initiation, transcriptional activator, LysR family; oriC iteron (13-mer) binding protein, competes with DnaA for iteron binding	Replication initiation 	negative regulation of DNA-dependent DNA replication initiation
EG11111	cspD	DNA replication inhibitor	characterized	characterized	7.8704856925E-05	1.00	0.671	0.342	0.524	N	N	N	inhibitor of DNA replication, cold shock protein homolog	Phenotype; Not classified	Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced; persistance gene	Replication initiation 	negative regulation of DNA replication
EG11263	gspB	calcium-binding protein required for initiation of chromosome replication	characterized	characterized	1.3735018639E-06	0.44	0.756	0.198	0.16	N	N	N	part of gsp divergon involved in type II protein secretion	Factor; DNA - replication, repair, restriction/modification	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Replication initiation 	N/A
EG12197	seqA	SeqA	characterized	characterized	0.0001062526	1.00	0.579	0.217	0.16	E	N	u	negative modulator of initiation of replication	Regulator; DNA - replication, repair, restriction/modification	Multi-faceted genome stability factor; negative modulator of initiation of replication; replication fork tracking protein required for chromosome segregation; chromosome cohesion protein; hemimethylated GATC binding protein	Replication initiation 	negative regulation of DNA-dependent DNA replication initiation
EG12780	diaA	DnaA initiator-associating factor for replication initiation	characterized	characterized	0.000023756	1.00	0.701	0.249	0.371	N	u	u	DnaA initiator-associating factor for replication initiation	Null	DnaA-binding protein; involved in the timing of the initiation of DNA replication; dnaA(Cs) suppressor; homodimer	Replication initiation 	regulation of DNA-dependent DNA replication initiation
EG10458	hsdM	host modification; DNA methylase M	characterized	characterized	1.01707075453E-05	0.88	0.844	0.257	0.32	N	N	N	DNA methyltransferase M	Enzyme; DNA - replication, repair, restriction/modification	DNA methyltransferase M, host modification of foreign DNA	Restriction-modification system 	DNA methylation on adenine
EG10459	hsdR	host restriction; endonuclease R	characterized	characterized	8.30214683368E-06	0.88	0.851	0.35	0.341	N	N	u	endonuclease R Type I restriction enzyme	Enzyme; Degradation of DNA	Endonuclease R, host restriction of foreign DNA; Type I restriction enzyme; ClpXP-dependent degradation	Restriction-modification system 	N/A
